Point Name,North,East,Elevation,Distance
Sweeney004,941571.047,253484.116,0.42,0
Sweeney005,941571.889,253484.133,0.032,0.8421715977
Sweeney007,941569.967,253484.418,0.318,1.121429445
Sweeney008,941569.333,253484.642,0.318,1.7928948659
Sweeney009,941568.323,253484.725,0.404,2.7912464958
Sweeney010,941567.787,253484.803,0.382,3.3316015668
Sweeney011,941567.595,253484.844,0.245,3.5279297046
Sweeney012,941567.422,253484.876,0.078,3.7038122253
Sweeney013,941567.28,253485.036,-1.024,3.877716983
Sweeney017,941566.965,253485.2,-1.192,4.2234796081
Sweeney018,941565.711,253485.223,-1.407,5.449618794
Sweeney019,941565.367,253485.248,-1.461,5.7917030311
Sweeney020,941565.054,253485.232,-1.594,6.096023704
Sweeney021,941564.591,253485.259,-1.722,6.5564003081
Sweeney022,941564.129,253485.049,-1.709,6.9806312752
Sweeney023,941563.568,253485.08,-1.682,7.5408711036
Sweeney024,941563.02,253485.032,-1.766,8.0790955558
Sweeney025,941562.608,253484.928,-1.875,8.477975289
Sweeney026,941562.344,253484.948,-1.769,8.7426788229
Sweeney027,941562.086,253484.983,-1.885,9.0028445505
Sweeney028,941561.765,253485.067,-1.824,9.3305908173
Sweeney029,941561.481,253485.156,-1.796,9.6223674841
Sweeney030,941561.006,253485.189,-1.876,10.0981686458
Sweeney031,941560.454,253485.159,-1.706,10.6442236917
Sweeney032,941559.924,253485.185,-1.672,11.1742512054
Sweeney033,941559.492,253485.198,-1.634,11.6055481991
Sweeney034,941559.164,253485.456,-1.596,11.9583146388
Sweeney035,941558.693,253485.561,-1.61,12.4382209741
Sweeney036,941558.243,253485.678,-1.523,12.8989247614
Sweeney037,941557.978,253485.77,-1.405,13.1732485363
Sweeney038,941557.857,253485.809,-1.307,13.2982084884
Sweeney039,941557.799,253485.867,-1.07,13.3632146208
Sweeney040,941557.734,253485.87,-0.666,13.4280484434
Sweeney041,941557.057,253486.373,-0.106,14.1708909035
Sweeney042,941556.429,253486.704,-0.158,14.845324786
Sweeney043,941555.652,253486.725,-0.26,15.6145094704
Sweeney044,941554.844,253486.915,0.06,16.4429805692
Sweeney045,941553.938,253486.965,0.358,17.344586533
SweeneyADCP,,,,